definition,word,author,tags,up,down,date
"When a city or town specifically zones an area for ""adult"" businesses.",Jizzneyland,whocaresaboutNY,[u'#jisneyland'; u'#gizzneyland'; u'#adult zone'; u'#stripclub'; u'#toystore'],6267,6382,April 05; 2013
A toilet bowl.,trump basket,jknightx,[],729,634,March 23; 2017
Excellent health care reserved exclusively for the wealthy.,wealth care,Davis Finch,[u'#insurance'; u'#rich'; u'#america'; u'#capitalism'; u'#socialism'],1072,625,May 16; 2008
A dick thing you say to a tall person to piss them off.,hows the weather up there,Jackalfu,[],1428,580,March 20; 2017
The insane; narcissistic; outrageous asshat who ratfucked his way into the Whitehouse with Russian hacking; slanderous lies from FBI director James Comey; and the archaic; undemocratic; and fucked Electoral College. Ratfucker is now working tirelessly (minus weekly vacations to Florida) to finish dismantling american society; enact authoritarian rule; destroy the environment; and destabilized global relations. You’ve been ratfucked.,ratfucker,FedupAngryLiberal,[u'#trump'; u'#asshat'; u'#scum'; u'#asshole'; u'#fascist'; u'#hypocrite'; u'#jerk'; u'#republican'],1580,2351,March 18; 2017
From the beginning.,from the giddy up,Chefpatrick,[],1344,685,March 20; 2017
Government healthcare program thought up by a group of rich white men posing as politicians that will provide you with enough coverage for a band-aid. Unless of course you are one of the rich.,Trumpcare,DFThompson,[],2162,2145,March 11; 2017
When the president deals with a problem by sweeping it under the rug.,presidential comb over,Walter Ego1,[],2123,2198,March 18; 2017
When you masterbate so much your spank bank is now into overdraft,spank bank overdraft,Mattyglide,[],1641,1099,March 15; 2017
(Noun) Getting drunk on St. Patrick's Day,Shamrock'd,E.Beast,[u'#drunk'; u'#wasted'; u'#cocked'; u'#hammered'; u'#smashed'],1765,1304,May 01; 2008
The act of explaining man on man sexual intercourse to another person.,manonmansplaining,RolloftheD,[],1175,1983,March 15; 2017
What most teenage boys use to masturbate,lucky sock,Raven's Haven,[u'#sock'; u'#lucky'; u'#dick'; u'#penis'; u'#masturbate'; u'#jizz'; u'#sperm'],2165,1181,December 30; 2011
A form of armpit odour that resembles a combination of cheese and onion. Usually experienced after hard work or a hot day.,Chunion,Ratdog82,[],1538,1348,March 01; 2017
A hard round constipating turd. Induced by too much starch and not enough fiber in the diet.,Corn Puck,Harry A. Nuss,[],1628,919,March 08; 2017
The way one's hair can look first thing in the morning; sticking straight up in all directions.,Strand-up comedy,Gary N.,[u'#bed head'; u'#tosseled'; u'#mess'; u'#un-combed'; u'#tangled.'],2392,11587,September 03; 2007
N. The sunglasses you put on when your eyes are displaying the effects of marijuana.,highwear,Madam Pince,[],2113,853,March 09; 2017
A term formerly useful for describing websites consisting entirely of intentionally fabricated news stories; but now used to describe virtually anything that does not mesh with one's own views.,fake news,DisillusionedPolitico,[u'#partisanship'; u'#demagoguery'; u'#gridlock'],2220,1090,March 06; 2017
NMH stand for Nodding My Head as a direct opposite of the popular abbreviation SMH; Shaking My Head. NMH is often used to express approval or joy.,nmh,Eric Yong,[],1457,795,March 01; 2017
Something you feed haters; has to be juicy lies that will get them to bite,hater steak,Outlaw152,[],1808,1197,March 05; 2017
(adj.) being in a state in which one is utterly and completely unable to distinguish fact from fiction; and is thus obviously and undeniably full of shit.,reality challenged,Tom Navarro,[u'#euphemism'; u'#shit from shinola'; u'#idiot'; u'#politician'; u'#adjective'],8620,1662,September 09; 2007
Donald Trump ties are cheap; poorly-made rags that are sold a discount and second-hand stores. People wearing these ties are those who wish they had more in their wallet than just lint. Generally; tie-wearers are wanna-bes who are looking for some attention and something to brag about. In reality; they are just embarassing themselves and all other other tie-wearers around the world.,donald trump tie,jarmstrong272,[u'#trump'; u'#ties'; u'#donald trump ties'; u'#homosexual'; u'#wanna-bes'; u'#rags'; u'#posers'; u'#tool'],1765,2746,November 11; 2009
An individual who performs less than satisfactorily to the chagrin and sometimes amusement of his or her associates; crew; or squadron.,crumplesack,Commander Crumplestiltskin,[u'#bomber'; u'#warheads on foreheads'; u'#dropping bombs and making moms'; u'#taking dex and pounding isis'; u'#pilot'; u'#wso'; u'#navigator'; u'#ewo'; u'#bomb squad'; u'#oir'; u'#ofs'; u'#eight engines of death'],1003,1128,February 25; 2017
A vivid; unpleasant mental image (as in a nightmare) conjured in broad daylight; such as an impending crash; or a thought of a loved one in distress; which can cause a strong emotional response such as fear or horror.,daymare,Laura Gay,[u'#nightmare'; u'#daydream'; u'#worry'; u'#paranoid'; u'#dream'],1964,645,July 03; 2011
Noun. Disciples of the dark lord Steve Bannon.,Bannonite,Junksmen,[],2232,1710,February 24; 2017
One of the shittest and most annoying things on the internet. First seen in january; 2016. In february; 2017; it went viral; and began to invade all over the internet. You can see at least one comment with this bird in facebook pages. There are numerous pages and groups created about this. Also there are millions of protesters around the world.,trash dove,CWProkiller,[],1283,1079,February 19; 2017
The reverse of namesake; a person you are named after.,nametake,Ben Frey,[u'#namesake'; u'#name dropping'; u'#genealogy'; u'#moniker'; u'#etymology'],1273,1765,April 17; 2006
A plague of many modern electric guitarists. Long and excessive solo on the guitar or other instrument; to show technical superiority rather than compositional and songwriting skills.,musical masturbation,dildo777,[u'#noodling'; u'#shredding'; u'#guitar hero'; u'#progressive metal'; u'#dream theater'],2095,831,February 24; 2017
(noun): Someone appointed to help destroy or dismantle the agency for which he or she ostensibly works.,bureauclast,KeseyFan,[],1576,1223,February 25; 2017
The talk; actions; or behavior of dildos,dildocio,mahatmaKaneJeeves,[u'#idiocy'; u'#vulgarity'; u'#trump'; u'#offensive'; u'#clamorous'],5332,1657,August 16; 2012
"""The Donald"" in Italian; to draw a parallel between him and Il Duce (Mussolini); the fascist leader of Italy.",Il Donald,Moechatur Mentula,[u'#il duce'; u'#cheeto mussolini'; u'#il donald'; u'#orange hitler'; u'#mussolini'],2195,2572,February 15; 2017
Extraterrestrial. A weird person. Someone who is being awkward or weird.,tall grey,J1989,[],1538,1202,January 09; 2017
Donald Trump's birth-name.,fuckface von clownstick,Ephara,[u'#fuck'; u'#fuckface'; u'#clown'; u'#stick'; u'#donald trump'],3918,3237,July 01; 2014
"Alt-Reich: An Intentional play on the word ""Altreich"". which is an actual German word meaning Old Empire and can refer to Germany's pre-WWI territories or even it's territories as the Holy Roman Empire; i.e. the countries Hitler tried to take back.",Alt-Reich,Ryantology2016,[],2815,2323,November 23; 2016
To be fired.,Trumped,Liberal1993,[u'#trumped'; u'#trump'; u'#fired'; u'#jobs'; u'#donald trump'],2388,3263,September 12; 2015
Trumpflakes are people that blindly defend Donald Trump; no matter insane or bat-shit crazy the case may be. They are basically flakes that defend Donald Trump by calling everyone 'snowflakes'.,trumpflakes,JimmyAgnew,[],3478,2999,January 25; 2017
When you completely blow a job interview and still wind up getting the job.,DeVos'd it,JerryDSKI,[],3062,1784,February 07; 2017
The unpunished crime of betraying one's country through espionage and alternative facts.,treasonish,BobbySouth,[u'##treason #russia #donaldtrump'],2628,2602,February 15; 2017
When a person or persons quits or leaves an organization or position before the said person is canned.,Nixon'd out,Jackfire71,[u'#nixon'; u'#quit'; u'#retired'; u'#early retirement'; u'#preemptive'],1964,1575,February 17; 2015
To torch a good job by accidentally engaging in treasonous acts.,Flynncinerate,anonymous,[],2249,1867,February 15; 2017
When a handshake between two persons goes past the extra time—it can last up to twenty-odd seconds.,Trumpshake,MathPlus,[],3145,2088,February 11; 2017
getting unbeleivably hammered. may involve loss of memory and balance.,Flynn drunk,tha man12345,[u'#drunk'; u'#loaded'; u'#hammered'; u'#sloshed'; u'#black out'],1751,2171,November 30; 2010
Acronym for So-Called Ruler of the United States; as in POTUS; President of the United States.,SCROTUS,Crekkis Hammy,[],3701,2297,February 11; 2017
